case,sample,LB,unit,fq1,fq2,PL
ctMSI-CRC-0044,N,ctMSI-CRC-0044-N,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S090_20181026004-8_gdna_wesplus_13951_S2_L004_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S090_20181026004-8_gdna_wesplus_13951_S2_L004_R2_001.fastq.gz,ILM
ctMSI-CRC-0044,T,ctMSI-CRC-0044-T,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S036_20181028009-b_ffpedna_wesplus_14065_S28_L004_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S036_20181028009-b_ffpedna_wesplus_14065_S28_L004_R2_001.fastq.gz,ILM
ctMSI-CRC-0045,N,ctMSI-CRC-0045-N,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S018_SZ20190111024WHB-a_gdna_wesplus_21738_S18_L002_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S018_SZ20190111024WHB-a_gdna_wesplus_21738_S18_L002_R2_001.fastq.gz,ILM
ctMSI-CRC-0045,T,ctMSI-CRC-0045-T,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S166_SZ20190119008PES-e_ffpedna_wesplus_22283_S72_L004_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S166_SZ20190119008PES-e_ffpedna_wesplus_22283_S72_L004_R2_001.fastq.gz,ILM
ctMSI-CRC-0046,T,ctMSI-CRC-0046-T,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S009_SZ20190619028PES-e_ffpedna_wesplus_30202_S13_L001_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S009_SZ20190619028PES-e_ffpedna_wesplus_30202_S13_L001_R2_001.fastq.gz,ILM
ctMSI-CRC-0046,N,ctMSI-CRC-0046-N,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S003_SZ20190607031WHB-d_gdna_wesplus_30870_S3_L002_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S003_SZ20190607031WHB-d_gdna_wesplus_30870_S3_L002_R2_001.fastq.gz,ILM
ctMSI-CRC-0047,N,ctMSI-CRC-0047-N,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S089_20181028007-4_gdna_wesplus_13950_S1_L004_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S089_20181028007-4_gdna_wesplus_13950_S1_L004_R2_001.fastq.gz,ILM
ctMSI-CRC-0047,T,ctMSI-CRC-0047-T,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S037_20181028008-d_ffpedna_wesplus_14066_S29_L004_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S037_20181028008-d_ffpedna_wesplus_14066_S29_L004_R2_001.fastq.gz,ILM
ctMSI-CRC-0048,N,ctMSI-CRC-0048-N,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S021_SZ20190607029WHB-4_gdna_wesplus_29628_S12_L002_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S021_SZ20190607029WHB-4_gdna_wesplus_29628_S12_L002_R2_001.fastq.gz,ILM
ctMSI-CRC-0048,T,ctMSI-CRC-0048-T,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S041_SZ20190607030PES-4_ffpedna_wesplus_30116_S42_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S041_SZ20190607030PES-4_ffpedna_wesplus_30116_S42_R2_001.fastq.gz,ILM
